concurso,data,n1,n2,n3,n4,n5
5571,16/06/2021,25281,28979,67336,46309,51172
5570,12/06/2021,3655,50592,69661,42563,1023
5569,09/06/2021,40012,22905,64332,45867,42806
5568,05/06/2021,67634,97277,81373,46089,84241
5567,02/06/2021,79290,3481,3412,6316,54378
5566,29/05/2021,82844,55871,59309,89282,9266
5565,26/05/2021,74793,58322,5269,21232,25410

5564,22/05/2021,5644,56240,40297,6389,52824
5563,19/05/2021,59010,45339,38740,45664,98367
5562,15/05/2021,68352,26407,58394,40843,97116
5561,12/05/2021,52913,33197,72623,33730,7660
5560,08/05/2021,59973,38233,59300,48882,88852
5559,05/05/2021,39568,3949,28200,5904,68828
5558,28/04/2021,93104,46670,62607,95430,20462
5557,24/04/2021,92277,79719,91748,77128,30935
5556,17/04/2021,6487,23204,43997,69903,75251
5555,14/04/2021,69351,20086,56000,97597,52694
5554,10/04/2021,98380,31186,15563,73309,34333
5553,07/04/2021,69860,48245,36062,69447,30083
5552,03/04/2021,8530,33575,26931,21937,65199
5551,31/03/2021,53666,21351,67752,43561,8133
5550,27/03/2021,49364,41717,36405,41050,29555
5549,24/03/2021,11936,92758,96920,59751,64908
5548,20/03/2021,67355,78459,75016,11088,8985
5547,17/03/2021,83532,40177,59107,35820,61680
5546,13/03/2021,54072,2097,15638,37584,18101
5545,10/03/2021,98441,31203,70806,95056,82510
5544,06/03/2021,12202,13428,8449,43844,44721
5543,03/03/2021,28040,20530,43409,7780,9047
5542,27/02/2021,27977,98438,2460,14954,17787
5541,24/02/2021,6475,51863,76641,34007,32456
5540,20/02/2021,35090,23696,15455,36750,30104
5539,18/02/2021,54010,25355,61972,7607,14331
5538,13/02/2021,67813,16441,56169,70359,12523
5537,10/02/2021,34101,15179,5023,38750,55186
5536,06/02/2021,89316,36296,17306,80233,22214
5535,03/02/2021,93918,68251,33300,75121,67674
5534,30/01/2021,17619,51445,11193,86477,86819
5533,27/01/2021,9077,31886,25334,76074,75074
5532,23/01/2021,31131,53181,44617,80145,78160
5531,20/01/2021,2317,2531,11870,3024,64798
5530,16/01/2021,74610,34111,54014,52041,62427
5529,13/01/2021,96148,88596,57538,57810,2927
5528,09/01/2021,54267,17291,33665,45509,36040
5527,06/01/2021,53377,66250,45925,4827,31640
5526,30/12/2020,95655,39888,62547,1339,74262
5525,23/12/2020,22206,67258,58847,1522,63764
5524,19/12/2020,41902,3789,96404,90201,12249
5523,16/12/2020,45324,97736,27738,31446,91566
5522,12/12/2020,10025,14363,73232,55383,75442
5521,09/12/2020,50262,84087,80692,79192,20693
5520,05/12/2020,48605,12911,36677,68364,99928
5519,02/12/2020,60513,72996,20592,28137,92575
5518,28/11/2020,46174,68046,8400,18323,49190

5517,25/11/2020,72345,88246,41251,65519,43144
5516,21/11/2020,55651,56837,42493,37361,78035
5515,18/11/2020,42840,39994,47976,43265,50506
5514,14/11/2020,50313,97646,81313,99365,25860
5513,11/11/2020,14278,85447,57143,66010,42777
5512,07/11/2020,76631,16107,34567,70036,26051
5511,04/11/2020,43350,1729,670,59518,428
5510,31/10/2020,32752,2821,55415,18658,56902
5509,28/10/2020,12777,3252,77006,22262,9156
5508,24/10/2020,22595,85033,20743,8302,28066
5507,21/10/2020,56576,74682,47906,3142,71490
5506,17/10/2020,88192,52540,1376,62538,81673
5505,14/10/2020,53427,80928,48992,34642,32561
5504,10/10/2020,34868,1381,73960,3126,8146
5503,07/10/2020,91215,2671,28927,79932,22507
5502,03/10/2020,18691,64644,10321,53265,50656
5501,30/09/2020,33487,82261,79689,24109,99594
5500,26/09/2020,37539,75904,23043,41911,66816
5499,23/09/2020,25975,5243,45818,17008,70519
5489,19/09/2020,40576,82454,84306,98834,92149
5488,12/09/2020,27286,62772,74540,4250,32844
5487,05/09/2020,7864,2929,60308,50983,59296
5486,29/08/2020,37120,3743,58470,9070,88775
5485,22/08/2020,95134,40515,62758,41632,20831
5484,15/08/2020,81225,50515,39713,52913,76811
5483,08/08/2020,56346,73142,10254,91607,4083
5482,01/08/2020,66479,41715,8560,14993,79626
5481,25/07/2020,56757,47891,38370,56765,89189
5480,18/07/2020,23367,24804,17102,39594,35477
5479,11/07/2020,87136,34989,3724,94861,14855
5478,04/07/2020,60674,7867,27005,4814,54457
5477,18/03/2020,50411,64624,92652,44129,78488
5476,14/03/2020,4343,67580,77375,66438,86451
5475,11/03/2020,14743,16425,62717,58754,67071
5474,07/03/2020,70161,86554,70795,67642,12142
